index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
337,0.0028365685,,,,0.0034525078,,0.0021585035,,-0.0020646513,,0.4982884,100000,5,0.7182207,-1.1271412083235788e-5
138,,0.0010933867,,0.0037264898,,,,-0.0019227479,,,0.50003433,100000,4,0.6238487,-1.1284780090381474e-5
58,,0.0010705052,,0.0036962025,0.0034231937,0.001353921,,,,,0.49671522,100000,5,0.7137503,-1.1450233170284818e-5
172,,,-0.0030287355,0.0037194078,,0.0013422394,,-0.0019113808,,,0.5014191,100000,5,0.7137503,-1.1450233170284818e-5
112,,,,,0.0034611798,0.0013721877,0.0021579892,,,,0.4979893,100000,4,0.6159014,-1.1523205822205895e-5
769,0.002842514,,,,,,,,-0.002081285,0.0024892248,0.49985442,100000,4,0.6159014,-1.1523205822205895e-5
95,0.002823867,0.0010645147,-0.0030424327,0.0036964137,0.0034398502,,0.0021641674,,,,0.49640366,100000,7,0.80762553,-1.1542716373602602e-5
857,0.0028193323,,,0.0036904344,0.0034111596,,0.002169289,,-0.0020883572,0.002458686,0.49525037,100000,7,0.80762553,-1.1542716373602602e-5
155,0.0028101727,0.0010672706,,0.0036927313,0.0034208132,,,-0.001929974,,,0.4969506,100000,6,0.76888335,-1.155608193470492e-5
189,0.002837356,,-0.0030592533,0.0036853107,0.0034423517,0.0013643834,,-0.0019186172,,,0.4983024,100000,7,0.80663204,-1.1602324594850444e-5
7,0.0028473628,0.0010556497,-0.00302866,,,,,,,,0.5010386,100000,4,0.61192775,-1.1642418688229128e-5
527,0.0028291047,0.0010784003,-0.0030342361,0.0037080722,,,,,,0.002476352,0.49794754,100000,6,0.7664991,-1.1675297185043121e-5
192,,,,,,,0.002144638,-0.0019174528,,,0.5013671,100000,3,0.41424328,-1.1715388688271489e-5
472,,,,0.003709671,0.0034397128,,0.0021700684,-0.0019287813,-0.0020582702,,0.49881697,100000,6,0.765307,-1.1734904810323243e-5
105,0.0028315536,,,0.003709638,,0.0013758489,0.0021529438,,,,0.49644408,100000,5,0.7062997,-1.174826831573661e-5
209,0.0028281268,,,,0.0034582485,,0.0021571305,-0.0019249845,,,0.49821982,100000,5,0.7062997,-1.174826831573661e-5
270,,0.0010815643,-0.00301513,0.0037282028,,,,,-0.002057674,,0.5016115,100000,5,0.7062997,-1.174826831573661e-5
534,,0.0010612296,-0.0030381256,,0.0034447352,,,,,0.0024632805,0.49951687,100000,5,0.7062997,-1.174826831573661e-5
712,,,,0.0037230395,,,0.0021556022,-0.0019193086,,0.002468545,0.4982674,100000,5,0.7062997,-1.174826831573661e-5
287,0.002832228,0.0010548666,-0.0030454085,0.0036945469,0.003430464,,,,-0.0020664157,,0.49852812,100000,7,0.80265844,-1.1840757480063857e-5
341,0.0028496305,,-0.0030433354,,0.003468175,,0.0021510632,,-0.0020610208,,0.49979356,100000,6,0.76173073,-1.1913727685941566e-5
632,,,,0.0036934225,0.0034196905,0.0013651297,0.0021687674,,,0.0024503148,0.494937,100000,6,0.76173073,-1.1913727685941566e-5
844,,,-0.0030191035,0.003725026,,,0.0021496308,,-0.0020768023,0.0024910474,0.49984333,100000,6,0.76173073,-1.1913727685941566e-5
544,,,,,,0.0013736442,,,,0.0024813456,0.49955708,100000,3,0.4023225,-1.1953812036002986e-5
304,,,,,0.0034518414,0.0013713305,,,-0.0020517698,,0.50010073,100000,4,0.6000069,-1.2000057286076782e-5
384,,,,,,,,-0.0019135461,-0.002051114,,0.5034644,100000,3,0.39636213,-1.207302370964669e-5
62,,0.0010574302,-0.0030391784,0.0036972964,0.0034389007,0.0013628345,,,,,0.49822456,100000,6,0.75815433,-1.2092550561337845e-5
297,0.0028397967,,,0.0037076233,,0.0013748263,,,-0.002070289,,0.4985546,100000,5,0.69735897,-1.210591049027876e-5
581,0.0028476885,,-0.003032265,,,,0.002136681,,,0.002481197,0.49925768,100000,5,0.69735897,-1.210591049027876e-5
729,0.0028110289,,,0.0036895096,0.0034171192,,0.0021679923,-0.0019269868,,0.0024414496,0.4951798,100000,7,0.7976911,-1.2138798586525112e-5
142,,0.0010810677,-0.0030206603,0.0037272894,,,,-0.0019276871,,,0.5015491,100000,5,0.6958688,-1.2165517519369118e-5
401,0.0028365497,,,,0.0034488586,,,-0.0019214478,-0.002059745,,0.5003284,100000,5,0.6958688,-1.2165517519369118e-5
561,0.0028366102,,,,0.0034287984,0.0013962262,,,,0.0024538627,0.49642527,100000,5,0.6958688,-1.2165517519369118e-5
904,,,,0.0037211373,,,,-0.0019154932,-0.0020753,0.0024821218,0.50037664,100000,5,0.6958688,-1.2165517519369118e-5
82,,0.0010756935,,,0.003454953,,0.0021632859,,,,0.49813718,100000,4,0.5920597,-1.2238483018123247e-5
324,,,-0.0030130383,,,,0.0021387162,,-0.0020526298,,0.5029412,100000,4,0.5920597,-1.2238483018123247e-5
641,0.0028340805,,,,,,,-0.0019118049,,0.0024722232,0.49978164,100000,4,0.5920597,-1.2238483018123247e-5
861,0.0028323296,,-0.0030488009,0.0036914353,0.0034264766,,0.0021618872,,-0.0020852035,0.002463796,0.49675566,100000,8,0.8250802,-1.224465635418781e-5
