index,x1_b,x1_t,x2_b,x2_t,x3_b,x3_t,x4_b,x4_t,x5_b,x5_t,x6_b,x6_t,x7_b,x7_t,x8_b,x8_t,x9_b,x9_t,x10_b,x10_t,_cons_b,_cons_t,nobs,ncoef,r2adj
533,0.0028405646,0.89582956,,,-0.0030550945,-0.9640304,,,0.0034433354,1.087384,,,,,,,,,0.0024552846,0.7738899,,,100000,5,-4.774245913496955e-6
276,,,,,-0.003036166,-0.958068,,,0.0034656709,1.094467,,,,,,,-0.002048381,-0.6468903,,,,,100000,4,-4.7876788948908455e-6
796,,,,,-0.0030417508,-0.95982856,0.0036973,1.1694926,0.0034243574,1.0813704,,,,,,,-0.0020721508,-0.65437925,0.002465497,0.7770876,,,100000,6,-4.880027913767293e-6
10,,,0.0010907431,0.34430644,,,0.0037236218,1.177842,,,,,,,,,,,,,,,100000,3,-5.039534955120217e-6
148,,,,,-0.0030413,-0.9596872,,,0.0034719158,1.0964358,,,,,-0.0019298609,-0.60942185,,,,,,,100000,4,-5.145317492738499e-6
44,,,,,-0.0030254435,-0.95469296,0.0037166972,1.1756504,,,0.0013639234,0.43030694,,,,,,,,,,,100000,4,-5.204923925861138e-6
27,0.0028109222,0.886477,0.0010648,0.33611116,,,0.0036899834,1.1671668,0.0034159054,1.0787274,,,,,,,,,,,,,100000,5,-5.310709175088135e-6
141,0.0028355953,0.8942579,,,-0.003037764,-0.95857394,0.0037125938,1.1743488,,,,,,,-0.0019251382,-0.60793185,,,,,,,100000,5,-5.310709175088135e-6
64,,,,,,,,,,,,,0.002143455,0.67759645,,,,,,,,,100000,2,-5.350991219010837e-6
61,0.0028377885,0.89492565,,,-0.003055973,-0.9643045,0.0036826525,1.1648471,0.0034374823,1.0855389,0.0013858927,0.43722752,,,,,,,,,,,100000,6,-5.3568889153421395e-6
344,,,,,,,0.0037067055,1.1724664,0.0034349614,1.0847516,,,0.0021690417,0.6856773,,,-0.0020604758,-0.6507085,,,,,100000,5,-5.429923233268852e-6
81,0.0028290611,0.89221084,,,,,,,0.0034531876,1.0905277,,,0.0021559282,0.68153435,,,,,,,,,100000,4,-5.502956090586153e-6
584,,,,,,,0.0037209238,1.176988,,,,,0.0021544325,0.68106455,,,,,0.0024710775,0.77888656,,,100000,4,-5.502956090586153e-6
668,,,,,-0.0030471762,-0.96153945,0.0036964538,1.1692252,0.003430417,1.0832802,,,,,-0.0019319293,-0.6100739,,,0.0024482543,0.77167183,,,100000,6,-5.5357117909604625e-6
776,,,,,,,0.0037187848,1.1763133,,,,,,,,,-0.0020770459,-0.65592533,0.0024844522,0.7830823,,,100000,4,-5.6817753897320245e-6
513,0.0028353748,0.8942035,,,,,,,,,,,,,,,,,0.0024745262,0.77997476,,,100000,3,-5.814410834803496e-6
256,,,,,,,,,,,,,,,,,-0.0020533649,-0.64846426,,,,,100000,2,-5.827833145621852e-6
216,,,,,,,0.00370573,1.1721581,0.003440716,1.0865653,,,0.0021676945,0.6852516,-0.0019311842,-0.6098397,,,,,,,100000,5,-5.84717243690136e-6
14,,,0.0010780575,0.34029886,-0.003017291,-0.952116,0.0037247534,1.1781993,,,,,,,,,,,,,,,100000,4,-5.860594688655851e-6
273,0.0028374845,0.8948611,,,,,,,0.00344389,1.0875993,,,,,,,-0.002061627,-0.6510693,,,,,100000,4,-5.860594688655851e-6
601,0.0028111902,0.8865664,,,,,0.0036871133,1.1662588,0.003412195,1.0775322,,,0.0021667506,0.6849532,,,,,0.0024437169,0.77024263,,,100000,6,-5.893357541975064e-6
31,0.0028243172,0.8906918,0.0010517399,0.33198553,-0.003047522,-0.9616331,0.0036910877,1.1675162,0.0034317346,1.0837116,,,,,,,,,,,,,100000,6,-6.072180417593387e-6
48,,,,,,,,,0.0034523234,1.090265,0.001370545,0.4324003,,,,,,,,,,,100000,3,-6.172045856178698e-6
85,0.0028425953,0.89647,,,-0.0030456728,-0.9610553,,,0.0034691193,1.0955446,,,0.0021485977,0.67921484,,,,,,,,,100000,5,-6.204814611221465e-6
128,,,,,,,,,,,,,,,-0.0019156403,-0.60493356,,,,,,,100000,2,-6.245069831489758e-6
41,0.002832394,0.89323556,,,,,0.0037037833,1.171555,,,0.0013743261,0.43358043,,,,,,,,,,,100000,4,-6.277839719404099e-6
348,,,,,-0.0030323055,-0.956846,0.0037079721,1.1728663,0.0034501832,1.0895438,,,0.0021615955,0.6833212,,,-0.00205729,-0.6497017,,,,,100000,6,-6.310610918269788e-6
793,0.0028194562,0.88916725,,,,,0.0036851075,1.1656259,0.0034024518,1.074463,,,,,,,-0.0020856159,-0.65862703,0.002457339,0.77451646,,,100000,6,-6.310610918269788e-6
68,,,,,-0.003015476,-0.9515487,,,,,,,0.002136003,0.67523843,,,,,,,,,100000,3,-6.350863366977322e-6
588,,,,,-0.0030206344,-0.9531749,0.0037213874,1.177134,,,,,0.0021470934,0.6787421,,,,,0.002476155,0.7804855,,,100000,5,-6.38363569849254e-6
145,0.0028291158,0.8922276,,,,,,,0.0034495832,1.0893936,,,,,-0.001923826,-0.60751647,,,,,,,100000,4,-6.397052585427332e-6
648,,,,,,,0.003717714,1.1759746,,,,,,,-0.0019180429,-0.6056913,,,0.002467316,0.7777001,,,100000,4,-6.397052585427332e-6
408,,,,,,,0.0037039602,1.1716001,0.0034313528,1.0836163,,,,,-0.0019272451,-0.60859525,-0.0020556066,-0.6491706,,,,,100000,5,-6.502849756673257e-6
277,0.0028509458,0.89909744,,,-0.003048635,-0.9619921,,,0.0034597102,1.092581,,,,,,,-0.0020585686,-0.6501026,,,,,100000,5,-6.562456785763615e-6
568,,,,,,,0.0036878304,1.1664909,0.0034114148,1.0772963,0.0013637291,0.43024576,,,,,,,0.002449073,0.7719287,,,100000,5,-6.562456785763615e-6
780,,,,,-0.0030236042,-0.954114,0.0037196307,1.1765801,,,,,,,,,-0.002073912,-0.65493494,0.0024898192,0.7847725,,,100000,5,-6.562456785763615e-6
605,0.0028251347,0.89095503,,,-0.0030507806,-0.96266556,0.003687769,1.1664658,0.003427688,1.0824106,,,0.0021594914,0.6826563,,,,,0.0024488955,0.7718736,,,100000,7,-6.595234005368766e-6
517,0.0028485104,0.89833707,,,-0.0030377267,-0.95856154,,,,,,,,,,,,,0.002479819,0.78164184,,,100000,4,-6.6354783174737975e-6
260,,,,,-0.0030183333,-0.9524521,,,,,,,,,,,-0.002049726,-0.6473146,,,,,100000,3,-6.708498388352524e-6
220,,,,,-0.003037986,-0.95863754,0.0037069886,1.1725557,0.0034559523,1.091362,,,0.0021602456,0.68289465,-0.0019363628,-0.6114739,,,,,,,100000,6,-6.787471919844634e-6
665,0.0028112433,0.8865826,,,,,0.0036842683,1.1653607,0.0034085286,1.0763783,,,,,-0.0019254396,-0.60802495,,,0.0024401213,0.7691085,,,100000,6,-6.847079544902712e-6
18,,,0.0010630314,0.33555663,,,,,0.003446725,1.0884854,,,,,,,,,,,,,100000,3,-6.887315899151147e-6
797,0.0028335284,0.8935962,,,-0.0030537676,-0.96361023,0.003685951,1.1658924,0.0034181695,1.0794126,,,,,,,-0.0020824997,-0.6576423,0.0024624916,0.77613914,,,100000,7,-6.952883333077864e-6
52,,,,,-0.00304225,-0.959983,,,0.0034680269,1.0952096,0.0013795708,0.4352458,,,,,,,,,,,100000,4,-6.993116915321451e-6
45,0.0028459055,0.8974875,,,-0.0030385926,-0.95883167,0.0037050927,1.1719689,,,0.0013832683,0.43639943,,,,,,,,,,,100000,5,-7.039313018486482e-6
11,0.0028189612,0.88901377,0.0010803225,0.3410144,,,0.0037122585,1.1742369,,,,,,,,,,,,,,,100000,4,-7.112329781344684e-6
328,,,,,,,0.003729443,1.1796826,,,,,0.0021550744,0.6812664,,,-0.0020624928,-0.651345,,,,,100000,4,-7.171936214245278e-6
132,,,,,-0.0030239066,-0.95421,,,,,,,,,-0.0019210151,-0.60662985,,,,,,,100000,3,-7.185345083593475e-6
412,,,,,-0.0030407542,-0.959513,0.0037052573,1.1720098,0.0034466626,1.0884362,,,,,-0.0019325336,-0.6102643,-0.0020523039,-0.6481269,,,,,100000,6,-7.204725296139358e-6
149,0.0028425702,0.8964616,,,-0.0030542507,-0.96376306,,,0.003465471,1.0943967,,,,,-0.0019289124,-0.6091216,,,,,,,100000,5,-7.2181341057575565e-6
538,,,0.0010858974,0.34276944,,,0.0036959376,1.1690562,0.0034048762,1.0752193,,,,,,,,,0.002450443,0.7723554,,,100000,5,-7.277741134847915e-6
652,,,,,-0.0030289846,-0.95581084,0.0037188495,1.1763333,,,,,,,-0.0019232538,-0.60733557,,,0.00247263,0.7793735,,,100000,5,-7.277741134847915e-6
65,0.0028376898,0.89493346,,,,,,,,,,,0.002142201,0.6771994,,,,,,,,,100000,3,-7.3641625943920985e-6
572,,,,,-0.0030480227,-0.96180284,0.0036889652,1.1668493,0.003426627,1.0820855,0.0013727148,0.43307862,,,,,,,0.0024544059,0.7736083,,,100000,6,-7.383548171757681e-6
669,0.0028251817,0.89096934,,,-0.0030592706,-0.9653455,0.0036850213,1.1655985,0.00342416,1.0813006,,,,,-0.0019307755,-0.60970885,,,0.0024451858,0.77070343,,,100000,7,-7.42974910350469e-6
592,,,,,,,,,0.003442816,1.087227,,,0.0021586257,0.6823865,,,,,0.0024549568,0.7737871,,,100000,4,-7.469968379192338e-6
345,0.0028214024,0.889781,,,,,0.0036957685,1.1689965,0.0034282964,1.0826426,,,0.0021677732,0.6852755,,,-0.0020708558,-0.65398175,,,,,100000,6,-7.56237104715396e-6
585,0.0028193933,0.88915545,,,,,0.0037092546,1.1732861,,,,,0.0021534278,0.6807462,,,,,0.0024677853,0.77784735,,,100000,5,-7.575776280077662e-6
257,0.0028458657,0.8975059,,,,,,,,,,,,,,,-0.0020634069,-0.65163076,,,,,100000,3,-7.602585941901552e-6
120,,,,,,,0.0036984163,1.1698377,0.0034371011,1.0854259,0.0013591447,0.42880037,0.0021670514,0.6850476,,,,,,,,,100000,5,-7.754597367348737e-6
777,0.0028276893,0.89176583,,,,,0.0037072867,1.1726654,,,,,,,,,-0.0020873963,-0.6591888,0.0024815851,0.78217727,,,100000,5,-7.754597367348737e-6
22,,,0.0010499576,0.3314266,-0.0030339244,-0.9573511,,,0.0034621495,1.0933417,,,,,,,,,,,,,100000,4,-7.827606977039991e-6
200,,,,,,,0.003728778,1.1794727,,,,,0.0021539836,0.68092173,-0.0019225335,-0.6071093,,,,,,,100000,4,-7.827606977039991e-6
784,,,,,,,,,0.0034333072,1.0842319,,,,,,,-0.0020691645,-0.65343636,0.0024684267,0.7780129,,,100000,4,-7.827606977039991e-6
